Title,Platform,Category,Price,Duration,Difficulty,Instructor,Rating,Learners / Reviews
Introduction to CrewAI: Building a Researcher Assistant Agent,Analytics Vidhya,AI / ML / Data Science,Free,50 Minutes,,Analytics Vidhya,4.7,10884
Understanding the working of Neural Networks,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.7,1315
Vibe Coding with Replit,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,11015
Excel : From Beginner  to Expert,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.6,53542
A Complete MLops Journey,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.6,1115
Data Analysis with Apache Hive,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.7,744
No Code Predictive Analytics with Orange,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.5,517
Building Intelligent Chatbots using AI,Analytics Vidhya,AI / ML / Data Science,Free,45 Minutes,,Analytics Vidhya,4.5,1968
GenAI for Everyone,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.6,44245
A B C of Coding to Build AI Agents,Analytics Vidhya,AI / ML / Data Science,Free,4 Hours,,Analytics Vidhya,4.9,15564
Getting Started  with Kimi K2,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.7,131
Getting  Started with Tableau,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.5,34938
How to Build an Image Generator Web App with Zero Coding,Analytics Vidhya,AI / ML / Data Science,Free,40 Minutes,,Analytics Vidhya,4.7,2607
Building and Evaluating RAG System,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.6,778
Guide to Vibe Coding in Windsurf,Analytics Vidhya,AI / ML / Data Science,Free,40 Minutes,,Analytics Vidhya,4.8,11230
Build Products 10x Faster with GenAI,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.8,38016
Building a Collaborative  Multi-Agent system,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.7,620
Building Smarter LLMs  with Mamba and  State Space Model,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.6,813
Nano Banana : Image Magic with  Gemini 2.5 Flash,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,7089
Getting Started with Strands Agents: Build Your First AI Agent,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.6,1140
n8n - A Complete Guide to Automation Tool,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,12645
Building ML Pipelines using MLflow & DVC,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.9,384
Generative AI on AWS,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.7,36778
Model Deployment using FastAPI,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.5,1966
Demystifying OpenAI  Agents SDK,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.7,438
Build a Document Retriever Search Engine with LangChain,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,5,1467
Exploring Stability. AI,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.9,411
Adaptive Email Agents with DSPy,Analytics Vidhya,AI / ML / Data Science,Free,45 Minutes,,Analytics Vidhya,4.7,121
Knowledge Bases & Memory for Agentic AI,Analytics Vidhya,AI / ML / Data Science,Free,45 Minutes,,Analytics Vidhya,4.5,11361
Building  Data Analyst AI Agent,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.6,18249
Building Scalable  Industry Applications with RAG and Agents,Analytics Vidhya,AI / ML / Data Science,Free,40 Minutes,,Analytics Vidhya,4.8,447
OpenEngage: Build a complete AI Driven Marketing Engine,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.5,1257
Building a Deep Research AI Agent,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.5,13901
Mastering Multimodal  RAG & Embeddings  with Amazon Nova & Bedrock,Analytics Vidhya,AI / ML / Data Science,Free,5 Hours,,Analytics Vidhya,4.8,1500
Frameworks  for effective Problem Solving,Analytics Vidhya,AI / ML / Data Science,Free,60 Minutes,,Analytics Vidhya,4.7,276
Framework to Choose the Right LLM  For your Business,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.5,669
Introduction to AI & ML,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.9,23239
Microsoft Excel Formulas & Functions,Analytics Vidhya,AI / ML / Data Science,Free,3 Hours,,Analytics Vidhya,4.8,40581
Tableau for Beginners,Analytics Vidhya,AI / ML / Data Science,Free,15 Minutes,,Analytics Vidhya,4.7,14349
Introduction to Natural Language Processing,Analytics Vidhya,AI / ML / Data Science,Free,5 Hours,,Analytics Vidhya,4.6,39834
Introduction  to Python,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.9,161056
Deploying Strands Agents with Amazon Bedrock AgentCore,Analytics Vidhya,AI / ML / Data Science,Free,40 Minutes,,Analytics Vidhya,4.6,390
Docker for Absolute Beginners,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour15 Minutes,,Analytics Vidhya,4.8,349
Foundations of Data Science,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,28414
Building Agentic AI  System with Bedrock,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour20 Minutes,,Analytics Vidhya,4.5,11678
Build Data Pipelines with Apache Airflow,Analytics Vidhya,AI / ML / Data Science,Free,3 Hours,,Analytics Vidhya,5,1175
Building a Sentiment Classification Pipeline with DistilBert and Airflow,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.6,297
Introduction to Transformers and Attention Mechanisms,Analytics Vidhya,AI / ML / Data Science,Free,3 Hours,,Analytics Vidhya,4.6,1787
Mastering Agentic Conversation Pattern with AG2,Analytics Vidhya,AI / ML / Data Science,Free,40 Minutes,,Analytics Vidhya,4.6,10690
Coding a ChatGPT-style Language Model From Scratch in Pytorch,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.6,3889
Navigating LLM Tradeoffs Techniques for   Speed & Accuracy,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.8,222
Data Preprocessing on a Real-World Problem,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.5,779
Getting Started With  Large Language Models,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour20 Minutes,,Analytics Vidhya,4.6,47431
Exploring-natural-language processing using deep learning,Analytics Vidhya,AI / ML / Data Science,Free,4 Hours,,Analytics Vidhya,4.5,2398
Ensemble Learning  and Ensemble Learning Techniques,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.8,7560
Evaluation Metrics for Machine Learning Models,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.6,5460
Exploring OpenAI o3 and o4-mini,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.7,1028
Deep Dive Into QwQ-32B,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,810
Build a Resume Review Agentic System with CrewAI,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.8,12536
Getting Started with OpenAI o3-mini,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour30 Minutes,,Analytics Vidhya,4.8,1210
Reimagining GenAI: Common Mistakes and Best Practices   for Success,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.8,1252
Building LLM Applications using Prompt Engineering,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.7,39854
Bagging and Boosting ML Algorithms,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.5,767
Understanding Linear  Regression,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour20 Minutes,,Analytics Vidhya,4.7,1008
The A to Z of Unsupervised ML,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,992
Build your first RAG system using LlamaIndex,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.9,39687
Getting Started with  Deep Learning,Analytics Vidhya,AI / ML / Data Science,Free,9 Hours,,Analytics Vidhya,4.8,34076
Dreambooth: Stable DIffusion  for Custom Images,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,385
Nano Course: Building Large Language Models for Code,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.7,2938
Building Data Stories using Excel and  Tableau,Analytics Vidhya,AI / ML / Data Science,Free,9 Hours30 Minutes,,Analytics Vidhya,4.7,785
Naive Bayes from Scratch,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.5,6763
Building Agent using AutoGen,Analytics Vidhya,AI / ML / Data Science,Free,3 Hours,,Analytics Vidhya,4.5,10678
Analyzing Data with Power BI,Analytics Vidhya,AI / ML / Data Science,Free,3 Hours30 Minutes,,Analytics Vidhya,4.5,35285
Foundations of Model Context Protocol,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.8,906
Revolutionizing Query Resolution  with a RAG System  Assisted by Agents,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.6,430
xAI Grok 3: Smartest AI on Earth,Analytics Vidhya,AI / ML / Data Science,Free,20 Minutes,,Analytics Vidhya,4.5,1627
DeepSeek from Scratch,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.6,5207
Getting Started with DeepSeek-AI,Analytics Vidhya,AI / ML / Data Science,Free,34 Minutes,,Analytics Vidhya,4.9,3073
End to end RAG Application Development with LangChain and Streamlit,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.5,1975
Learning Autonomous Driving Behaviors with LLMs and RL,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,5,278
GenAI for Quantitative  Finance & Control Implementation,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,1738
Creating Problem-Solving Agents with  GenAI for Actions,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.5,635
Generative AI - A Way of Life,Analytics Vidhya,AI / ML / Data Science,Free,4 Hours,,Analytics Vidhya,4.5,48419
K-Nearest Neighbors (KNN) Algorithm in Python and R,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.8,5917
Fundamentals  of Regression Analysis,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour30 Minutes,,Analytics Vidhya,4.9,10975
Pandas  for Data Analysis in Python,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,35183
Building Database Agents,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,718
Building a Customized Newsletter AI Agent,Analytics Vidhya,AI / ML / Data Science,Free,45 Minutes,,Analytics Vidhya,4.6,10650
Agentic AI Design  Patterns,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.5,2524
Build a QA RAG system with Langchain,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,5,675
Improving Real World RAG Systems :Key Challenges,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,2136
Building Your First Computer Vision Model,Analytics Vidhya,AI / ML / Data Science,Free,34 Hours,,Analytics Vidhya,4.8,808
MidJourney: From Inspiration to Implementation,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour10 Minutes,,Analytics Vidhya,4.6,492
Building Text Classification Models in NLP,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour10 Minutes,,Analytics Vidhya,4.8,2078
Nano Course Cutting Edge LLM Tricks,Analytics Vidhya,AI / ML / Data Science,Free,38 Minutes,,Analytics Vidhya,4.6,187
Introduction  to Data Visualization,Analytics Vidhya,AI / ML / Data Science,Free,19 Minutes,,Analytics Vidhya,4.9,500
Machine Learning Certification Course for Beginners,Analytics Vidhya,AI / ML / Data Science,Free,6 Hours,,Analytics Vidhya,4.5,85200
Introduction to Business Analytics,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.5,24910
Introduction to PyTorch for Deep Learning,Analytics Vidhya,AI / ML / Data Science,Free,31 Minutes,,Analytics Vidhya,5,7261
Time Series Forecasting using Python,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.7,61546
Build Your 2025 Winning Data Science Resume with AI,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.5,36312
Essential : SQL Skills for Data Beginners,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,,38552
A comprehensive Learning path to become a Data Analyst,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.6,1012
Mastering Multilingual  GenAI Open-Weight for Indic Language,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.6,254
A Comprehensive Learning Path to Become  a Data Scientist in 2025,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.8,6917
Introduction to Cloud,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.7,391
Dimensionality Reduction for Machine Learning,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.9,6062
Getting Started with Decision Trees,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.6,41197
Twitter Sentiment Analysis (Using Python),Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.8,14906
Big Mart Sales Prediction Using R,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.6,15759
Loan Prediction Practice Problem (Using Python),Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.8,35922
Modeling Time-series Data  with Deep learning,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,131
"Claude 4.5: Smarter, Faster  & More Human AI",Analytics Vidhya,AI / ML / Data Science,Free,40 Minutes,,Analytics Vidhya,4.6,187
NotebookLM Essentials to Pro: The Complete Practical Guide,Analytics Vidhya,AI / ML / Data Science,Free,40 Minutes,,Analytics Vidhya,4.7,390
Foundations of Vector Database,Analytics Vidhya,AI / ML / Data Science,Free,40 Minutes,,Analytics Vidhya,4.7,280
Real World Projects on RAG,Analytics Vidhya,AI / ML / Data Science,Free,5 Hours,,Analytics Vidhya,4.6,107
Real World Projects on AI Agents,Analytics Vidhya,AI / ML / Data Science,Free,5 Hours,,Analytics Vidhya,4.7,143
Strands Agent  Learning Path,Analytics Vidhya,AI / ML / Data Science,Free,6 Hours,,Analytics Vidhya,4.7,133
Data Analyst  Learning Path,Analytics Vidhya,AI / ML / Data Science,Free,12 Hours,,Analytics Vidhya,4.7,8004
AI Agents  Learning Path,Analytics Vidhya,AI / ML / Data Science,Free,12 Hours,,Analytics Vidhya,4.6,10327
Vibe Coding  Learning Path,Analytics Vidhya,AI / ML / Data Science,Free,9 Hours,,Analytics Vidhya,4.6,9639
GenAI  Learning Path,Analytics Vidhya,AI / ML / Data Science,Free,9 Hours,,Analytics Vidhya,4.6,36213
Data Science Learning Path,Analytics Vidhya,AI / ML / Data Science,Free,30 Hours,,Analytics Vidhya,4.7,27384
Building AI agents with Amazon Bedrock AgentCore,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,129
"Gemini 3: The AI   That Thinks,  Sees and Creates",Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.7,656
RIP  Data Scientists,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.7,798
Building Multi Agent Systems with Strands Agents,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.7,526
Vibe Coding with Cursor,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,430
Advanced Strands Agents with MCP,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour30 Minutes,,Analytics Vidhya,4.7,525
GenAI to Build Exciting Games,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.9,863
MCP: Unlock AI integrations with real-world demos,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,683
ChatGPT  as  Your Assistant,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.6,6777
Exploratory Data Analysis with Python & GenAI,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.6,9558
Ace a Data Scientist Interview in 2025,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.5,34371
LangChain   Fundamentals,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours30 Minutes,,Analytics Vidhya,4.5,1187
Introduction to CrewAI: Building a Researcher Assistant Agent,Analytics Vidhya,AI / ML / Data Science,Free,50 Minutes,,Analytics Vidhya,4.7,10884
Understanding the working of Neural Networks,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.7,1315
Vibe Coding with Replit,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,11015
Excel : From Beginner  to Expert,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.6,53542
A Complete MLops Journey,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.6,1115
Data Analysis with Apache Hive,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.7,744
No Code Predictive Analytics with Orange,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.5,517
Building Intelligent Chatbots using AI,Analytics Vidhya,AI / ML / Data Science,Free,45 Minutes,,Analytics Vidhya,4.5,1968
GenAI for Everyone,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.6,44245
A B C of Coding to Build AI Agents,Analytics Vidhya,AI / ML / Data Science,Free,4 Hours,,Analytics Vidhya,4.9,15564
Getting Started  with Kimi K2,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.7,131
Getting  Started with Tableau,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.5,34938
How to Build an Image Generator Web App with Zero Coding,Analytics Vidhya,AI / ML / Data Science,Free,40 Minutes,,Analytics Vidhya,4.7,2607
Building and Evaluating RAG System,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.6,778
Guide to Vibe Coding in Windsurf,Analytics Vidhya,AI / ML / Data Science,Free,40 Minutes,,Analytics Vidhya,4.8,11230
Build Products 10x Faster with GenAI,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.8,38016
Building a Collaborative  Multi-Agent system,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.7,620
Building Smarter LLMs  with Mamba and  State Space Model,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.6,813
Nano Banana : Image Magic with  Gemini 2.5 Flash,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,7089
Getting Started with Strands Agents: Build Your First AI Agent,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.6,1140
n8n - A Complete Guide to Automation Tool,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,12645
Building ML Pipelines using MLflow & DVC,Analytics Vidhya,AI / ML / Data Science,Free,2 Hours,,Analytics Vidhya,4.9,384
Generative AI on AWS,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.7,36778
Model Deployment using FastAPI,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.5,1966
Demystifying OpenAI  Agents SDK,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.7,438
Build a Document Retriever Search Engine with LangChain,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,5,1467
Exploring Stability. AI,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.9,411
Adaptive Email Agents with DSPy,Analytics Vidhya,AI / ML / Data Science,Free,45 Minutes,,Analytics Vidhya,4.7,121
Knowledge Bases & Memory for Agentic AI,Analytics Vidhya,AI / ML / Data Science,Free,45 Minutes,,Analytics Vidhya,4.5,11361
Building  Data Analyst AI Agent,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.6,18249
Building Scalable  Industry Applications with RAG and Agents,Analytics Vidhya,AI / ML / Data Science,Free,40 Minutes,,Analytics Vidhya,4.8,447
OpenEngage: Build a complete AI Driven Marketing Engine,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.5,1257
Building a Deep Research AI Agent,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.5,13901
Mastering Multimodal  RAG & Embeddings  with Amazon Nova & Bedrock,Analytics Vidhya,AI / ML / Data Science,Free,5 Hours,,Analytics Vidhya,4.8,1500
Frameworks  for effective Problem Solving,Analytics Vidhya,AI / ML / Data Science,Free,60 Minutes,,Analytics Vidhya,4.7,276
Framework to Choose the Right LLM  For your Business,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.5,669
Introduction to AI & ML,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.9,23239
Microsoft Excel Formulas & Functions,Analytics Vidhya,AI / ML / Data Science,Free,3 Hours,,Analytics Vidhya,4.8,40581
Tableau for Beginners,Analytics Vidhya,AI / ML / Data Science,Free,15 Minutes,,Analytics Vidhya,4.7,14349
Introduction to Natural Language Processing,Analytics Vidhya,AI / ML / Data Science,Free,5 Hours,,Analytics Vidhya,4.6,39834
Introduction  to Python,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.9,161056
Deploying Strands Agents with Amazon Bedrock AgentCore,Analytics Vidhya,AI / ML / Data Science,Free,40 Minutes,,Analytics Vidhya,4.6,390
Docker for Absolute Beginners,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour15 Minutes,,Analytics Vidhya,4.8,349
Foundations of Data Science,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.8,28414
Building Agentic AI  System with Bedrock,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour20 Minutes,,Analytics Vidhya,4.5,11678
Build Data Pipelines with Apache Airflow,Analytics Vidhya,AI / ML / Data Science,Free,3 Hours,,Analytics Vidhya,5,1175
Building a Sentiment Classification Pipeline with DistilBert and Airflow,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.6,297
Introduction to Transformers and Attention Mechanisms,Analytics Vidhya,AI / ML / Data Science,Free,3 Hours,,Analytics Vidhya,4.6,1787
Mastering Agentic Conversation Pattern with AG2,Analytics Vidhya,AI / ML / Data Science,Free,40 Minutes,,Analytics Vidhya,4.6,10690
Coding a ChatGPT-style Language Model From Scratch in Pytorch,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.6,3889
Navigating LLM Tradeoffs Techniques for   Speed & Accuracy,Analytics Vidhya,AI / ML / Data Science,Free,30 Minutes,,Analytics Vidhya,4.8,222
Data Preprocessing on a Real-World Problem,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour,,Analytics Vidhya,4.5,779
Getting Started With  Large Language Models,Analytics Vidhya,AI / ML / Data Science,Free,1 Hour20 Minutes,,Analytics Vidhya,4.6,47431
